Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Energ De Brasilia.,CEBR6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
BANRISUL ON N1,BRSR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
BANRISUL PNB,BRSR6,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Azul SA Pref,AZUL4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Azul SA Pref,AZUL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
SANEPAR ON N2,SAPR3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
BANRISUL PNA,BRSR5,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
COPEL ON,CPLE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
DIRECIONAL ON,DIRR3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-16,wait,2020-10-16
VALID ON,VLID3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Hoteis Othon,HOOT4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
ConocoPhillips DR.,COPH34,1M,Medium,Homing Pigeon,Current,Bullish reversal,2020-10-16,wait,2020-10-16
GAFISA ON,GFSA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Apple Inc BDR,AAPL34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Starbucks Corp BD.,SBUB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
CSU CARDSYST ON,CARD3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
PORTO SEGURO ON,PSSA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
CEEE-D ON,CEED3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
CEEE-D ON,CEED3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
CEEE-D ON,CEED3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
LE LIS BLANC ON,LLIS3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
BR BROKERS ON,BBRK3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Unipar Carbocloro.,UNIP5,1M,Low,Harami Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
TELEF BRASIL PN,VIVT4,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
TIM PART S/A ON,TIMS3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Energ De Brasilia.,CEBR6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
MMX Mineracao e M.,MMXM11,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-16,wait,2020-10-16
COELCE ON,COCE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2020-10-16,wait,2020-10-16
LOJAS RENNER ON,LREN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
POSITIVO INF ON,POSI3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Wal Mart Stores I.,WALM34,1M,Low,Hanging Man,Current,Bearish reversal,2020-10-16,wait,2020-10-16
DIRECIONAL ON,DIRR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
NEOENERGIA,NEOE3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-16,wait,2020-10-16
ECORODOVIAS ON,ECOR3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
ECORODOVIAS ON,ECOR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
EMBRAER ON,EMBR3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Bardella Pref,BDLL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-16,wait,2020-10-16
MARFRIG ON,MRFG3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Dimed,PNVL3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-16,wait,2020-10-16
NEOENERGIA,NEOE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
ITAUUNIBANCO ON,ITUB3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
ODONTOPREV ON,ODPV3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-16,wait,2020-10-16
BBSEGURIDADE ON N.,BBSE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
CEMIG PN,CMIG4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-16,wait,2020-10-16
MARFRIG ON,MRFG3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Ogx Petroleo e Ga.,DMMO3T,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-16,wait,2020-10-16
Instituto Hermes.,PARD3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-16,wait,2020-10-16
