Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Star,Current,Bullish reversal,2020-11-25,wait,2020-11-25
TOTVS ON,TOTS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-11-25,wait,2020-11-25
Hoteis Othon,HOOT4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Refinaria de Petr.,RPMG3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Hoteis Othon,HOOT4,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-25,wait,2020-11-25
LOJAS AMERIC PN,LAME4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-25,wait,2020-11-25
LOJAS AMERIC PN,LAME4,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Smiles Fidelidade.,SMLS3T,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
RAIADROGASIL ON,RADL3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Ogx Petroleo e Ga.,DMMO3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
International Bus.,IBMB34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-25,wait,2020-11-25
LINX ON NM,LINX3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-25,wait,2020-11-25
CEDRO PN,CEDO4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-25,wait,2020-11-25
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-25,wait,2020-11-25
CEEE-D ON,CEED3,1M,High,Falling Three Methods,Current,Bearish continuation,2020-11-25,wait,2020-11-25
WEG ON,WEGE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-25,wait,2020-11-25
Electro Aco Alton.,EALT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-25,wait,2020-11-25
TRIUNFO PART ON,TPIS3,1M,High,Three Outside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Ogx Petroleo e Ga.,DMMO3T,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Chevron Corp BDR,CHVX34,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-25,wait,2020-11-25
CTEEP,TRPL3,1M,High,Rising Three Methods,Current,Bullish continuation,2020-11-25,wait,2020-11-25
PARANAPANEMA ON,PMAM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-25,wait,2020-11-25
ITAUSA PN,ITSA4,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
Banco Inter ON,BIDI3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-25,wait,2020-11-25
