Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
PORTOBELLO ON,PTBL3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
COPEL ON,CPLE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
FLEURY ON,FLRY3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-10,wait,2020-12-10
TAEE Pref,TAEE4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
BR PROPERT ON,BRPR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
FLEURY ON,FLRY3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-10,wait,2020-12-10
ROSSI RESID ON,RSID3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
ROSSI RESID ON,RSID3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
TAESA UNT,TAEE11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
USIMINAS PNA,USIM5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
Oracle Corp BDR,ORCL34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-10,wait,2020-12-10
Amazon.com Inc BD.,AMZO34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-10,wait,2020-12-10
Oracle Corp BDR,ORCL34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-10,wait,2020-12-10
American Express.,AXPB34,1M,Low,Harami Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
CTEEP,TRPL3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-10,wait,2020-12-10
TAEE 3,TAEE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-10,wait,2020-12-10
TRAN PAULIST PN,TRPL4,1M,Low,Hanging Man,Current,Bearish reversal,2020-12-10,wait,2020-12-10
