Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Star,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Telebras,TELB3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Verizon Communica.,VERZ34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Verizon Communica.,VERZ34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Wal Mart Stores I.,WALM34,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Wal Mart Stores I.,WALM34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Hoteis Othon,HOOT4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Hoteis Othon,HOOT4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Hoteis Othon,HOOT4,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-13,wait,2020-11-13
LOJAS AMERIC ON,LAME3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-11-13,wait,2020-11-13
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-13,wait,2020-11-13
TELEF BRASIL ON,VIVT3,1M,Medium,Downside Gap Three Methods,Current,Bearish continuation,2020-11-13,wait,2020-11-13
Telebras,TELB3,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-13,wait,2020-11-13
ATT Inc BDR,ATTB34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-13,wait,2020-11-13
LINX ON NM,LINX3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-13,wait,2020-11-13
ATT Inc BDR,ATTB34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-13,wait,2020-11-13
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-11-13,wait,2020-11-13
