Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Estadual Geracao.,EEEL4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
AES TIETE E UNT N.,TIET11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Amazon.com Inc BD.,AMZO34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Oracle Corp BDR,ORCL34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
BRASKEM PNA,BRKM5,1M,High,Falling Three Methods,Current,Bearish continuation,2020-12-15,wait,2020-12-15
PORTOBELLO ON,PTBL3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Celpe Pref,CEPE5,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-15,wait,2020-12-15
PORTOBELLO ON,PTBL3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
MARCOPOLO PN,POMO4,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-15,wait,2020-12-15
MARCOPOLO PN,POMO4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Wal Mart Stores I.,WALM34,1M,Medium,Break Away Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Cosan Logistica S.,RLOG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
TIM PART S/A ON,TIMS3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
BRASKEM ON,BRKM3,1M,High,Upside Gap Two Crows,Current,Bearish reversal,2020-12-15,wait,2020-12-15
YDUQS Part ON,YDUQ3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
COMGAS PNA,CGAS5,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Hoteis Othon,HOOT4,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
USIMINAS PNA,USIM5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
USIMINAS PNA,USIM5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Home Depot Inc BD.,HOME34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Azul SA Pref,AZUL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
CEDRO PN,CEDO4,1M,High,Falling Three Methods,Current,Bearish continuation,2020-12-15,wait,2020-12-15
Netflix Inc DRC,NFLX34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Netflix Inc DRC,NFLX34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Saraiva,SLED3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
McDonalds Corp BD.,MCDC34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Celpe Pref,CEPE5,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
CTEEP,TRPL3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
AREZZO CO ON,ARZZ3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
CIELO ON,CIEL3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Baumer,BALM3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
CESP PNA,CESP5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
LOPES BRASIL ON,LPSB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-15,wait,2020-12-15
AREZZO CO ON,ARZZ3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
CESP ON,CESP3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Eucatex,EUCA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Visa Inc BDR,VISA34,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Camil Alimentos,CAML3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Visa Inc BDR,VISA34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Ogx Petroleo e Ga.,DMMO3T,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-15,wait,2020-12-15
ROSSI RESID ON,RSID3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Kimberly Clark Co.,KMBB34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-15,wait,2020-12-15
COELCE PNA,COCE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-12-15,wait,2020-12-15
FLEURY ON,FLRY3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
ROSSI RESID ON,RSID3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Brb Banco,BSLI3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Celpe Pref,CEPE5,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
CEEE-GT ON,EEEL3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
American Express.,AXPB34,1W,High,Three Inside Down,Current,Bearish reversal,2020-12-15,wait,2020-12-15
TELEF BRASIL PN,VIVT4,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
BANCO PAN SA PN,BPAN4,1W,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
Refinaria de Petr.,RPMG3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
BRADESCO PN EJ N1.,BBDC4,1W,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
AREZZO CO ON,ARZZ3,1W,Low,Harami Cross,Current,Bullish reversal,2020-12-15,wait,2020-12-15
Cogna Educacao,COGN3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
TIM PART S/A ON,TIMS3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
LOJAS RENNER ON,LREN3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-15,wait,2020-12-15
AMBEV S/A ON,ABEV3,1W,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
TECNISA ON,TCSA3,1W,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
ITAUUNIBANCOPN EB.,ITUB4,1W,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
SANTANDER BR UNT,SANB11,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-15,wait,2020-12-15
LOPES BRASIL ON,LPSB3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-15,wait,2020-12-15
