Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
MULTIPLAN ON,MULT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-09,wait,2020-10-09
LE LIS BLANC ON,LLIS3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-09,wait,2020-10-09
SARAIVA LIVR PN,SLED4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-09,wait,2020-10-09
Cogna Educacao,COGN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Cogna Educacao,COGN3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Taurus Armas PN,TASA4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-09,wait,2020-10-09
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
SANTANDER BRPN ,SANB4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-09,wait,2020-10-09
KLABIN S/A PN,KLBN4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
COELCE ON,COCE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2020-10-09,wait,2020-10-09
CEEE-D ON,CEED3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-09,wait,2020-10-09
C A Modas SA,CEAB3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
C A Modas SA,CEAB3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-09,wait,2020-10-09
ConocoPhillips DR.,COPH34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Whirlpool Pref,WHRL4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-09,wait,2020-10-09
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
RODOBENSIMOB ON,RDNI3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
SANEPAR ON N2,SAPR3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-09,wait,2020-10-09
SARAIVA LIVR PN,SLED4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
CEEE-D ON,CEED3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-09,wait,2020-10-09
SANEPAR ON N2,SAPR3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-09,wait,2020-10-09
