Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
WEG ON,WEGE3,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-28,wait,2021-01-28
CSU CARDSYST ON,CARD3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Xerox Corp BDR,XRXB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-28,wait,2021-01-28
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Movida Participac.,MOVI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
VALE ON,VALE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
HYPERMARCAS ON,HYPE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
HYPERMARCAS ON,HYPE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
VALE ON,VALE3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Johnson Johnson B.,JNJB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
RAIADROGASIL ON,RADL3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
CSU CARDSYST ON,CARD3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
GOL PN N2,GOLL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
SANTANDER BRPN ,SANB4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
CEB,CEBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
LOCALIZA ON,RENT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Energ De Brasilia.,CEBR5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Smiles Fidelidade.,SMLS3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
CEB,CEBR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-28,wait,2021-01-28
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Citigroup Inc BDR.,CTGP34,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Citigroup Inc BDR.,CTGP34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Schulz SA,SHUL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Whirlpool SA,WHRL3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
OI ON N1,OIBR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Verizon Communica.,VERZ34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
RAIADROGASIL ON,RADL3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Anima ON,ANIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Energ De Brasilia.,CEBR6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
METAL LEVE ON,LEVE3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
PETRORIO ON NM,PRIO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Karsten Pref,CTKA4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-28,wait,2021-01-28
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ArcelorMittal BDR.,ARMT34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Karsten,CTKA3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ArcelorMittal BDR.,ARMT34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BRADESPAR ON,BRAP3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BRADESPAR ON,BRAP3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BRADESPAR PN,BRAP4,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BRADESPAR PN,BRAP4,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
GERDAU MET ON,GOAU3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
PETRORIO ON NM,PRIO3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Dommo Energia,DMMO3,1M,Low,Three Line Strike,Current,Bullish continuation,2021-01-28,wait,2021-01-28
MULTIPLAN ON,MULT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
IGUATEMI ON,IGTA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Pfizer Inc BDR,PFIZ34,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
COTEMINAS,CTNM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Biomm On,BIOM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
COTEMINAS PN,CTNM4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Nike Inc BDR,NIKE34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Ferbasa,FESA3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BBSEGURIDADE ON N.,BBSE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-28,wait,2021-01-28
C A Modas SA,CEAB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
C A Modas SA,CEAB3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Home Depot Inc BD.,HOME34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
LOCAMERICA ON NM,LCAM3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Energ De Brasilia.,CEBR6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
SID NACIONAL ON,CSNA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
AES TIETE E ON N2.,TIET3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Brasileira De Dis.,PCAR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Vivara,VIVA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Vivara,VIVA3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
EMBRAER ON,EMBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
SANEPAR ON N2,SAPR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Starbucks Corp BD.,SBUB34,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
TAEE,TAEE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
M.DIASBRANCO ON,MDIA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-28,wait,2021-01-28
COPEL Pref B,CPLE6,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Atacadao,CRFB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
TAEE UNIT,TAEE11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Colgate Palmolive.,COLG34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
EMBRAER ON,EMBR3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
CEMIG ON,CMIG3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BRF SA ON,BRFS3,1M,High,Evening Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Atacadao,CRFB3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
CYRELA REALT ON,CYRE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-28,wait,2021-01-28
TAEE UNIT,TAEE11,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
CYRELA REALT ON,CYRE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
NEOENERGIA,NEOE3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
ELETROBRAS PNB,ELET6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Parana Sanepar Un.,SAPR11,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-28,wait,2021-01-28
Lockheed Martin C.,LMTB34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-28,wait,2021-01-28
GERDAU PN N1,GGBR4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ENERGIAS BR ON,ENBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ELETROBRAS ON,ELET3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Morgan Stanley Ba.,MSBR34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
TECNISA ON,TCSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-28,wait,2021-01-28
Brasileira De Dis.,PCAR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
LOJAS RENNER ON,LREN3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
BRF SA ON,BRFS3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ENERGIAS BR ON,ENBR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
CEMIG ON,CMIG3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
COSAN ON,CSAN3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
BRB Pref,BSLI4,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Renova Energia Pr.,RNEW4,1M,High,Abandoned Baby Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
COSAN ON,CSAN3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Procter Gamble Co.,PGCO34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Karsten Pref,CTKA4,1W,Medium,Bullish doji Star,Current,Bullish reversal,2021-01-28,wait,2021-01-28
USIMINAS ON,USIM3,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
TRAN PAULIST PN,TRPL4,1W,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Anima ON,ANIM3,1W,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
USIMINAS PNA,USIM5,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Johnson Johnson B.,JNJB34,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
MULTIPLAN ON,MULT3,1W,Medium,Downside Gap Three Methods,Current,Bearish continuation,2021-01-28,wait,2021-01-28
CCX CARVAO ON,CCXC3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Microsoft Corp BD.,MSFT34,1W,High,Three Outside Up,Current,Bullish reversal,2021-01-28,wait,2021-01-28
ITAUUNIBANCO ON,ITUB3,1W,Low,Thrusting Bearish,Current,Bearish continuation,2021-01-28,wait,2021-01-28
ULTRAPAR ON NM,UGPA3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Dommo Energia For.,DMMO3T,1W,Low,Bullish Hammer,Current,Bullish reversal,2021-01-28,wait,2021-01-28
FERBASA PN,FESA4,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
LOCAMERICA ON NM,LCAM3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
American Express.,AXPB34,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
American Express.,AXPB34,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Home Depot Inc BD.,HOME34,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Home Depot Inc BD.,HOME34,1W,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
BANCO PAN SA PN,BPAN4,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
B3 SA Brasil Bols.,B3SA3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
COTEMINAS,CTNM3,1W,High,Three Inside Up,Current,Bullish reversal,2021-01-28,wait,2021-01-28
TAEE,TAEE3,1W,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
ConocoPhillips DR.,COPH34,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Enauta ON,ENAT3,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Enauta ON,ENAT3,1W,Medium,Bullish doji Star,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Instituto Hermes.,PARD3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Eucatex,EUCA3,1W,Low,Belt Hold Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
CEDRO PN,CEDO4,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Baumer,BALM3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Enauta ON,ENAT3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Movida Participac.,MOVI3,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
AES TIETE E ON N2.,TIET3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
BRF SA ON,BRFS3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
SAO CARLOS ON,SCAR3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-28,wait,2021-01-28
SAO CARLOS ON,SCAR3,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
SANEPAR ON N2,SAPR3,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Verizon Communica.,VERZ34,1W,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-28,wait,2021-01-28
3M Co BDR,MMMC34,1W,High,Three Outside Up,Current,Bullish reversal,2021-01-28,wait,2021-01-28
Bank of America C.,BOAC34,1W,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Companhia de Sane.,SAPR4,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-28,wait,2021-01-28
BRADESPAR PN,BRAP4,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Citigroup Inc BDR.,CTGP34,1W,High,Three Outside Down,Current,Bearish reversal,2021-01-28,wait,2021-01-28
Taurus Armas PN,TASA4,1W,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-28,wait,2021-01-28
TELEF BRASIL PN,VIVT4,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-28,wait,2021-01-28
GOL PN N2,GOLL4,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
TELEF BRASIL ON,VIVT3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-28,wait,2021-01-28
