Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Kimberly Clark Co.,KMBB34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
ATT Inc BDR,ATTB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Hoteis Othon,HOOT4,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-09,wait,2020-12-09
LINX ON NM,LINX3,1M,High,Upside Gap Two Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
LINX ON NM,LINX3,1M,High,Evening Star,Current,Bearish reversal,2020-12-09,wait,2020-12-09
LINX ON NM,LINX3,1M,High,Evening Doji Star,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Saraiva,SLED3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-09,wait,2020-12-09
MAGAZ LUIZA ON,MGLU3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
TIM PART S/A ON,TIMS3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Estadual Geracao.,EEEL4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Oracle Corp BDR,ORCL34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-09,wait,2020-12-09
AREZZO CO ON,ARZZ3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
COELCE PNA,COCE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-12-09,wait,2020-12-09
AREZZO CO ON,ARZZ3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Movida Participac.,MOVI3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
EVEN ON,EVEN3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Amazon.com Inc BD.,AMZO34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Ford Motor Co BDR.,FDMO34,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Home Depot Inc BD.,HOME34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Oracle Corp BDR,ORCL34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Qualcomm Inc BDR,QCOM34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Netflix Inc DRC,NFLX34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Dommo Energia,DMMO11,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
BRASKEM ON,BRKM3,1M,High,Upside Gap Two Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
SID NACIONAL ON,CSNA3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Walt Disney Co BD.,DISB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
GERDAU MET PN,GOAU4,1M,Medium,Gravestone Doji,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Eucatex,EUCA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
FERBASA PN,FESA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Chevron Corp BDR,CHVX34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Ogx Petroleo e Ga.,DMMO3T,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-09,wait,2020-12-09
LOPES BRASIL ON,LPSB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-09,wait,2020-12-09
FLEURY ON,FLRY3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Morgan Stanley Ba.,MSBR34,1M,Low,Harami Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Visa Inc BDR,VISA34,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Visa Inc BDR,VISA34,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Brb Banco,BSLI3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Merck Co Inc BDR,MRCK34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Merck Co Inc BDR,MRCK34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Johnson Johnson B.,JNJB34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-12-09,wait,2020-12-09
FLEURY ON,FLRY3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-09,wait,2020-12-09
McDonalds Corp BD.,MCDC34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Cisco Systems Inc.,CSCO34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
AES TIETE E UNT N.,TIET11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
TAESA UNT,TAEE11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
PORTOBELLO ON,PTBL3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
CESP ON,CESP3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
CESP ON,CESP3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-09,wait,2020-12-09
TAEE Pref,TAEE4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
TAEE 3,TAEE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
CESP PNA,CESP5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
PORTOBELLO ON,PTBL3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
PORTOBELLO ON,PTBL3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
TRAN PAULIST PN,TRPL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
TRAN PAULIST PN,TRPL4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
CTEEP,TRPL3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-09,wait,2020-12-09
MARFRIG ON,MRFG3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Procter Gamble Co.,PGCO34,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
TRIUNFO PART ON,TPIS3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-09,wait,2020-12-09
Minerva,BEEF11,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Minerva,BEEF11,1W,Low,Harami Cross,Current,Bullish reversal,2020-12-09,wait,2020-12-09
Minerva,BEEF11,1W,Medium,Bullish doji Star,Current,Bullish reversal,2020-12-09,wait,2020-12-09
