Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
LOCAMERICA ON NM,LCAM3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
ITAUSA ON,ITSA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-01,wait,2020-12-01
NEOENERGIA,NEOE3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
PARANAPANEMA ON,PMAM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Electro Aco Alton.,EALT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-01,wait,2020-12-01
EUCATEX PN,EUCA4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Eucatex,EUCA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
COMGAS PNA,CGAS5,1M,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-01,wait,2020-12-01
KLABIN S/A PN,KLBN4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
LINX ON NM,LINX3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
ITAUSA PN,ITSA4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
LOCAMERICA ON NM,LCAM3,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Hoteis Othon,HOOT4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Hoteis Othon,HOOT4,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Kimberly Clark Co.,KMBB34,1M,High,Three Outside Down,Current,Bearish reversal,2020-12-01,wait,2020-12-01
LOJAS AMERIC PN,LAME4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-01,wait,2020-12-01
CEEE-D ON,CEED3,1M,High,Falling Three Methods,Current,Bearish continuation,2020-12-01,wait,2020-12-01
Smiles Fidelidade.,SMLS3T,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
ELETROBRAS PNB,ELET6,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Chevron Corp BDR,CHVX34,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Refinaria de Petr.,RPMG3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Ogx Petroleo e Ga.,DMMO3T,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
QUALICORP ON,QUAL3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
CTEEP,TRPL3,1M,High,Rising Three Methods,Current,Bullish continuation,2020-12-01,wait,2020-12-01
MasterCard Inc BD.,MSCD34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
LOPES BRASIL ON,LPSB3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Nike Inc BDR,NIKE34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
LOPES BRASIL ON,LPSB3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
CEMIG PN,CMIG4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
CESP PNA,CESP5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
3M Co BDR,MMMC34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
eBay Inc BDR,EBAY34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Gradiente Electro.,IGBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
TRIUNFO PART ON,TPIS3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
BANRISUL PNB,BRSR6,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
International Bus.,IBMB34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
ITAUUNIBANCO ON,ITUB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
BANRISUL ON N1,BRSR3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
International Bus.,IBMB34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Morgan Stanley Ba.,MSBR34,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Brb Banco,BSLI3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Brb Banco,BSLI3,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Banco Inter ON,BIDI3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Whirlpool Pref,WHRL4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Banco BTG,BPAC11,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-01,wait,2020-12-01
TOTVS ON,TOTS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Bardella Pref,BDLL4,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Biomm On,BIOM3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Hewlett Packard C.,HPQB34,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
LOJAS MARISA ON,AMAR3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
COTEMINAS,CTNM3,1W,High,Three Outside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
USIMINAS ON,USIM3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Dimed,PNVL3,1W,High,Evening Doji Star,Current,Bearish reversal,2020-12-01,wait,2020-12-01
AREZZO CO ON,ARZZ3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
RAIADROGASIL ON,RADL3,1W,High,Three Black Crows,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Smiles Fidelidade.,SMLS3T,1W,High,Dark Cloud Cover,Current,Bearish reversal,2020-12-01,wait,2020-12-01
LUPATECH ON,LUPA3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Xerox Corp BDR,XRXB34,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Bardella Pref,BDLL4,1W,Low,Harami Cross Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
MMX Mineracao e M.,MMXM11,1W,High,Three Outside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Smiles Fidelidade.,SMLS3T,1W,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Vivara,VIVA3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Banco BMG ON,BMGB4,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
BR PROPERT ON,BRPR3,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
MARCOPOLO PN,POMO4,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
BANRISUL PNA,BRSR5,1W,High,Three Inside Up,Current,Bullish reversal,2020-12-01,wait,2020-12-01
BANRISUL PNA,BRSR5,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-01,wait,2020-12-01
BANRISUL PNA,BRSR5,1W,Low,Belt Hold Bullish,Current,Bullish reversal,2020-12-01,wait,2020-12-01
Morgan Stanley Ba.,MSBR34,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Morgan Stanley Ba.,MSBR34,1W,Low,Harami Cross Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
ITAUSA PN,ITSA4,1W,Low,Hanging Man,Current,Bearish reversal,2020-12-01,wait,2020-12-01
IRB Brasil Resseg.,IRBR3,1W,High,Three Outside Down,Current,Bearish reversal,2020-12-01,wait,2020-12-01
Brasileira De Dis.,PCAR3,1W,High,Three Outside Down,Current,Bearish reversal,2020-12-01,wait,2020-12-01
American Express.,AXPB34,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
SAO CARLOS ON,SCAR3,1W,Low,Harami Cross Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
MARCOPOLO ON,POMO3,1W,Low,Hanging Man,Current,Bearish reversal,2020-12-01,wait,2020-12-01
ENEVA ON NM,ENEV3,1W,Low,Harami Cross Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
ENEVA ON NM,ENEV3,1W,Low,Harami Bearish,Current,Bearish reversal,2020-12-01,wait,2020-12-01
