Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Aliansce Sonae,ALSO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
GOL PN N2,GOLL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
CIA HERING ON,HGTX3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
BR Insurance Corr.,APER3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
BR Insurance Corr.,APER3,1M,High,Evening Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-07,wait,2021-01-07
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Visa Inc BDR,VISA34,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-07,wait,2021-01-07
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-07,wait,2021-01-07
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
JHSF PART ON,JHSF3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-07,wait,2021-01-07
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-07,wait,2021-01-07
ETERNIT ON,ETER3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-07,wait,2021-01-07
BR MALLS PAR ON,BRML3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-07,wait,2021-01-07
Movida Participac.,MOVI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
TELEF BRASIL ON,VIVT3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
BR MALLS PAR ON,BRML3,1M,High,Evening Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
EVEN ON,EVEN3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Anima ON,ANIM3,1M,High,Evening Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
COTEMINAS,CTNM3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
COTEMINAS PN,CTNM4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
DIRECIONAL ON,DIRR3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
Energ De Brasilia.,CEBR6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
IGUATEMI ON,IGTA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
EMBRAER ON,EMBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Brb Banco,BSLI3,1M,Low,Bullish Hammer,Current,Bullish reversal,2021-01-07,wait,2021-01-07
WEG ON,WEGE3,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-07,wait,2021-01-07
Enauta ON,ENAT3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ETERNIT ON,ETER3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-07,wait,2021-01-07
Kimberly Clark Co.,KMBB34,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-07,wait,2021-01-07
Kimberly Clark Co.,KMBB34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-07,wait,2021-01-07
BRASKEM ON,BRKM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
CYRELA REALT ON,CYRE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Vivara,VIVA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Vivara,VIVA3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
GAFISA ON,GFSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
SARAIVA LIVR PN,SLED4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Ser Educa ON,SEER3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ULTRAPAR ON NM,UGPA3,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ULTRAPAR ON NM,UGPA3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Petrobras Distrib.,BRDT3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Enauta ON,ENAT3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
EMBRAER ON,EMBR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
GOL PN N2,GOLL4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Biomm On,BIOM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Starbucks Corp BD.,SBUB34,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ENERGIAS BR ON,ENBR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
JBS ON,JBSS3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Merck Co Inc BDR,MRCK34,1M,High,Morning Star,Current,Bullish reversal,2021-01-07,wait,2021-01-07
Merck Co Inc BDR,MRCK34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-07,wait,2021-01-07
BRF SA ON,BRFS3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
LUPATECH ON,LUPA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Dimed Pref,PNVL4,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
TECNISA ON,TCSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
BRASIL ON,BBAS3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
LUPATECH ON,LUPA3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ITAUSA PN,ITSA4,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-07,wait,2021-01-07
M.DIASBRANCO ON,MDIA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-07,wait,2021-01-07
ITAUUNIBANCO ON,ITUB3,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-07,wait,2021-01-07
TAEE,TAEE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-07,wait,2021-01-07
AES TIETE E UNT N.,TIET11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
ROSSI RESID ON,RSID3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-07,wait,2021-01-07
RODOBENSIMOB ON,RDNI3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-07,wait,2021-01-07
