Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
IGUATEMI ON,IGTA3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
LE LIS BLANC ON,LLIS3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
LOJAS MARISA ON,AMAR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
COELCE ON,COCE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
LOJAS MARISA ON,AMAR3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Citigroup Inc BDR.,CTGP34,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
EVEN ON,EVEN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
EVEN ON,EVEN3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
3M Co BDR,MMMC34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Ogx Petroleo e Ga.,DMMO3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PETROBRAS ON,PETR3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PARANAPANEMA ON,PMAM3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PETROBRAS ON,PETR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PETROBRAS PN,PETR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PepsiCo Inc BDR,PEPB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Chevron Corp BDR,CHVX34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
RODOBENSIMOB ON,RDNI3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Goldman Sachs Gro.,GSGI34,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PARANAPANEMA ON,PMAM3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Comcast Corp BDR,CMCS34,1M,Low,Three Line Strike,Current,Bullish continuation,2020-10-27,wait,2020-10-27
International Bus.,IBMB34,1M,Low,Three Line Strike,Current,Bullish continuation,2020-10-27,wait,2020-10-27
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
PepsiCo Inc BDR,PEPB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Apple Inc BDR,AAPL34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
JBS ON,JBSS3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
POSITIVO INF ON,POSI3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Wal Mart Stores I.,WALM34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
GAFISA ON,GFSA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
GAFISA ON,GFSA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-27,wait,2020-10-27
International Bus.,IBMB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Ogx Petroleo e Ga.,DMMO3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
TELEF BRASIL PN,VIVT4,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Visa Inc BDR,VISA34,1M,High,Three Inside Down,Current,Bearish reversal,2020-10-27,wait,2020-10-27
CEEE-D ON,CEED3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Energ De Brasilia.,CEBR5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Morgan Stanley Ba.,MSBR34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
JPMorgan Chase Co.,JPMC34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
SANEPAR ON N2,SAPR3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-27,wait,2020-10-27
CSU CARDSYST ON,CARD3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Comcast Corp BDR,CMCS34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Bardella Pref,BDLL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-27,wait,2020-10-27
MARCOPOLO ON,POMO3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-27,wait,2020-10-27
MARCOPOLO PN,POMO4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-27,wait,2020-10-27
Taurus Armas ON,TASA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-27,wait,2020-10-27
