Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Vivara,VIVA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-29,wait,2021-01-29
CYRELA REALT ON,CYRE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Procter Gamble Co.,PGCO34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BANCO PAN SA PN,BPAN4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Brasileira De Dis.,PCAR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Brasileira De Dis.,PCAR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Johnson Johnson B.,JNJB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Vivara,VIVA3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRASIL ON,BBAS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRASILAGRO ON,AGRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-29,wait,2021-01-29
ELETROBRAS PNB,ELET6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
M.DIASBRANCO ON,MDIA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-29,wait,2021-01-29
Colgate Palmolive.,COLG34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Dimed Pref,PNVL4,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-29,wait,2021-01-29
CYRELA REALT ON,CYRE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
YDUQS Participaco.,YDUQ3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-29,wait,2021-01-29
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
YDUQS Participaco.,YDUQ3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-29,wait,2021-01-29
GOL PN N2,GOLL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
COSAN ON,CSAN3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-29,wait,2021-01-29
Celulose Irani,RANI3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Starbucks Corp BD.,SBUB34,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Parana Sanepar Un.,SAPR11,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-29,wait,2021-01-29
TECNISA ON,TCSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-29,wait,2021-01-29
Ferbasa,FESA3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-01-29,wait,2021-01-29
SANEPAR ON N2,SAPR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Xerox Corp BDR,XRXB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
GOL PN N2,GOLL4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRF SA ON,BRFS3,1M,High,Evening Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Energ De Brasilia.,CEBR5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
RANDON PART PN,RAPT4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
MULTIPLAN ON,MULT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
ITAUUNIBANCO ON,ITUB3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
SANTANDER BRPN ,SANB4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
SANTANDER BR UNT,SANB11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
ITAUSA PN,ITSA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
IGUATEMI ON,IGTA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Banco BTG,BPAC11,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRADESCO PN EJ N1.,BBDC4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
CSU CARDSYST ON,CARD3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-29,wait,2021-01-29
CSU CARDSYST ON,CARD3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Banco BTG,BPAC11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
CSU CARDSYST ON,CARD3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BR MALLS PAR ON,BRML3,1M,High,Evening Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRF SA ON,BRFS3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Verizon Communica.,VERZ34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Bank of America C.,BOAC34,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
OI ON N1,OIBR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BR MALLS PAR ON,BRML3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Citigroup Inc BDR.,CTGP34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Citigroup Inc BDR.,CTGP34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Citigroup Inc BDR.,CTGP34,1M,Medium,Gravestone Doji,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-29,wait,2021-01-29
Morgan Stanley Ba.,MSBR34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRB Pref,BSLI4,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-29,wait,2021-01-29
BBSEGURIDADE ON N.,BBSE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
BRF SA ON,BRFS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Smiles Fidelidade.,SMLS3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-29,wait,2021-01-29
LOCALIZA ON,RENT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
PETRORIO ON NM,PRIO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
COPEL Pref B,CPLE6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
TAEE Pref,TAEE4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Karsten,CTKA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Karsten Pref,CTKA4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
TAEE,TAEE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
METAL LEVE ON,LEVE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
EMBRAER ON,EMBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Home Depot Inc BD.,HOME34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-29,wait,2021-01-29
Renova Energia Pr.,RNEW4,1M,High,Abandoned Baby Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Nike Inc BDR,NIKE34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Dommo Energia,DMMO3,1M,Low,Three Line Strike,Current,Bullish continuation,2021-01-29,wait,2021-01-29
TAEE UNIT,TAEE11,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-29,wait,2021-01-29
USIMINAS PNA,USIM5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
CESP PNB,CESP6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
CESP PNB,CESP6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
USIMINAS ON,USIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
VALE ON,VALE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
VALE ON,VALE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
VALE ON,VALE3,1M,Medium,Gravestone Doji,Current,Bearish reversal,2021-01-29,wait,2021-01-29
PETROBRAS PN,PETR4,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-29,wait,2021-01-29
WEG ON,WEGE3,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-29,wait,2021-01-29
Electro Aco Alton.,EALT4,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-29,wait,2021-01-29
MARCOPOLO ON,POMO3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
MARCOPOLO ON,POMO3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
MARCOPOLO ON,POMO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
TAEE UNIT,TAEE11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
ITAUUNIBANCOPN EB.,ITUB4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
LOCAMERICA ON NM,LCAM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
ELETROBRAS ON,ELET3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
JHSF PART ON,JHSF3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-29,wait,2021-01-29
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
Movida Participac.,MOVI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-29,wait,2021-01-29
