Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
SANTANDER BR UNT,SANB11,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-08,wait,2021-01-08
ODONTOPREV ON,ODPV3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
BRADESCO PN EJ N1.,BBDC4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-08,wait,2021-01-08
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
HYPERMARCAS ON,HYPE3,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-08,wait,2021-01-08
FLEURY ON,FLRY3,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2021-01-08,wait,2021-01-08
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-08,wait,2021-01-08
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-08,wait,2021-01-08
Anima ON,ANIM3,1M,High,Evening Star,Current,Bearish reversal,2021-01-08,wait,2021-01-08
COTEMINAS,CTNM3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-08,wait,2021-01-08
LOCAMERICA ON NM,LCAM3,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-08,wait,2021-01-08
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-08,wait,2021-01-08
