Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Unipar Carbocloro.,UNIP5,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
MULTIPLAN ON,MULT3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-11,wait,2021-02-11
USIMINAS ON,USIM3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
CCR SA ON,CCRO3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-11,wait,2021-02-11
CCR SA ON,CCRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
FedEx Corp BDR,FDXB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Lockheed Martin C.,LMTB34,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Lockheed Martin C.,LMTB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-11,wait,2021-02-11
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-11,wait,2021-02-11
ITAUUNIBANCO ON,ITUB3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-11,wait,2021-02-11
ITAUUNIBANCOPN EB.,ITUB4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-11,wait,2021-02-11
CEDRO PN,CEDO4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
SANTANDER BRON ,SANB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Apple Inc BDR,AAPL34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
SANTANDER BR UNT,SANB11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Alupar Invest,ALUP3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
ECORODOVIAS ON,ECOR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Taurus Armas PN,TASA4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
Nike Inc BDR,NIKE34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
BR PROPERT ON,BRPR3,1M,High,Three Black Crows,Current,Bearish reversal,2021-02-11,wait,2021-02-11
BR BROKERS ON,BBRK3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
SANEPAR ON N2,SAPR3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-11,wait,2021-02-11
SANEPAR ON N2,SAPR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
SANEPAR ON N2,SAPR3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Apple Inc BDR,AAPL34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
Apple Inc BDR,AAPL34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-11,wait,2021-02-11
ELETROBRAS PNB,ELET6,1M,Medium,Homing Pigeon,Current,Bullish reversal,2021-02-11,wait,2021-02-11
Xerox Corp BDR,XRXB34,1M,Low,Hanging Man,Current,Bearish reversal,2021-02-11,wait,2021-02-11
Biomm On,BIOM3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-11,wait,2021-02-11
PETROBRAS ON,PETR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-11,wait,2021-02-11
