Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
SANTANDER BRPN ,SANB4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-20,wait,2020-10-20
MULTIPLAN ON,MULT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CEEE-D ON,CEED3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-20,wait,2020-10-20
VALID ON,VLID3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
TIM PART S/A ON,TIMS3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
SANEPAR ON N2,SAPR3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Parana Sanepar Un.,SAPR11,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Celulose Irani Pr.,RANI4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-20,wait,2020-10-20
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-20,wait,2020-10-20
PETROBRAS ON,PETR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
BRF SA ON,BRFS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-20,wait,2020-10-20
TELEF BRASIL PN,VIVT4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-20,wait,2020-10-20
International Bus.,IBMB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-20,wait,2020-10-20
Whirlpool Pref,WHRL4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
DIRECIONAL ON,DIRR3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
BANRISUL PNA,BRSR5,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CSU CARDSYST ON,CARD3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Dimed,PNVL3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Nike Inc BDR,NIKE34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-20,wait,2020-10-20
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
COELCE ON,COCE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2020-10-20,wait,2020-10-20
CEMIG ON,CMIG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-20,wait,2020-10-20
ODONTOPREV ON,ODPV3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Visa Inc BDR,VISA34,1M,High,Three Inside Down,Current,Bearish reversal,2020-10-20,wait,2020-10-20
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CEEE-D ON,CEED3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Whirlpool Pref,WHRL4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CPFL ENERGIAON NM.,CPFE3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Chevron Corp BDR,CHVX34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
AMBEV S/A ON,ABEV3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CEMIG PN,CMIG4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Microsoft Corp BD.,MSFT34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-20,wait,2020-10-20
Microsoft Corp BD.,MSFT34,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-20,wait,2020-10-20
PepsiCo Inc BDR,PEPB34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-20,wait,2020-10-20
PepsiCo Inc BDR,PEPB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-20,wait,2020-10-20
BRASKEM ON,BRKM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-20,wait,2020-10-20
CESP ON,CESP3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-20,wait,2020-10-20
