Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Karsten,CTKA3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
SANTANDER BRPN ,SANB4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Aliansce Sonae,ALSO3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
VALID ON,VLID3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
Aliansce Sonae,ALSO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
GOL PN N2,GOLL4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ITAUUNIBANCO ON,ITUB3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
GOL PN N2,GOLL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Anima ON,ANIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ITAUUNIBANCOPN EB.,ITUB4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ENEVA ON NM,ENEV3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
MULTIPLAN ON,MULT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRADESPAR PN,BRAP4,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Johnson Johnson B.,JNJB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Parana Sanepar Un.,SAPR11,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
ITAUSA PN,ITSA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
EVEN ON,EVEN3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
SANTANDER BR UNT,SANB11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
WEG ON,WEGE3,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-27,wait,2021-01-27
BRADESPAR PN,BRAP4,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Whirlpool SA,WHRL3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
RAIADROGASIL ON,RADL3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-27,wait,2021-01-27
SANEPAR ON N2,SAPR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Taurus Armas ON,TASA3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRADESPAR ON,BRAP3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Movida Participac.,MOVI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRADESPAR ON,BRAP3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
COPEL Pref B,CPLE6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BANRISUL PNB,BRSR6,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
BANRISUL PNB,BRSR6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Energ De Brasilia.,CEBR6,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
METAL LEVE ON,LEVE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
JHSF PART ON,JHSF3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-01-27,wait,2021-01-27
LOCAMERICA ON NM,LCAM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Karsten,CTKA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-27,wait,2021-01-27
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
SID NACIONAL ON,CSNA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Ferbasa,FESA3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Karsten Pref,CTKA4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
Freeport Mcmoran.,FCXO34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Verizon Communica.,VERZ34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Freeport Mcmoran.,FCXO34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
OI ON N1,OIBR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Celulose Irani,RANI3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRASIL ON,BBAS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BR MALLS PAR ON,BRML3,1M,High,Evening Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Energ De Brasilia.,CEBR5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ENEVA ON NM,ENEV3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
COTEMINAS PN,CTNM4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
IGUATEMI ON,IGTA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CEB,CEBR3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CEB,CEBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BANCO PAN SA PN,BPAN4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BR MALLS PAR ON,BRML3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
MARCOPOLO ON,POMO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
MARCOPOLO ON,POMO3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BBSEGURIDADE ON N.,BBSE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
MARCOPOLO ON,POMO3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
TAEE UNIT,TAEE11,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Vivara,VIVA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRF SA ON,BRFS3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRF SA ON,BRFS3,1M,High,Evening Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Procter Gamble Co.,PGCO34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Dommo Energia,DMMO3,1M,Low,Three Line Strike,Current,Bullish continuation,2021-01-27,wait,2021-01-27
CSU CARDSYST ON,CARD3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
TAEE UNIT,TAEE11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
McDonalds Corp BD.,MCDC34,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-27,wait,2021-01-27
LOCALIZA ON,RENT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
USIMINAS ON,USIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
TAEE Pref,TAEE4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Vivara,VIVA3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CVC BRASIL ON NM,CVCB3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Nike Inc BDR,NIKE34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Biomm On,BIOM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
EMBRAER ON,EMBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
TAEE,TAEE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
TECNISA ON,TCSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
Starbucks Corp BD.,SBUB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
USIMINAS PNA,USIM5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ELETROBRAS PNB,ELET6,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRASILAGRO ON,AGRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Azul SA Pref,AZUL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
COSAN ON,CSAN3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-27,wait,2021-01-27
M.DIASBRANCO ON,MDIA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
Renova Energia Pr.,RNEW4,1M,High,Abandoned Baby Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
COSAN ON,CSAN3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Colgate Palmolive.,COLG34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRF SA ON,BRFS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
BRB Pref,BSLI4,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Wells Fargo Co BD.,WFCO34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
RANDON PART PN,RAPT4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
CSU CARDSYST ON,CARD3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
GAFISA ON,GFSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-27,wait,2021-01-27
YDUQS Participaco.,YDUQ3,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-27,wait,2021-01-27
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
VALE ON,VALE3,1M,Medium,Gravestone Doji,Current,Bearish reversal,2021-01-27,wait,2021-01-27
ELETROBRAS ON,ELET3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
VALE ON,VALE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CYRELA REALT ON,CYRE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CYRELA REALT ON,CYRE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
Caterpillar Inc B.,CATP34,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Bank of America C.,BOAC34,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-27,wait,2021-01-27
VALE ON,VALE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Citigroup Inc BDR.,CTGP34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
AES TIETE E ON N2.,TIET3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Citigroup Inc BDR.,CTGP34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Citigroup Inc BDR.,CTGP34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Citigroup Inc BDR.,CTGP34,1M,Medium,Gravestone Doji,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Lockheed Martin C.,LMTB34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2021-01-27,wait,2021-01-27
CEMIG PN Pref,CMIG4,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Mitre Realty On,MTRE3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Home Depot Inc BD.,HOME34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Morgan Stanley Ba.,MSBR34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Smiles Fidelidade.,SMLS3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CVC BRASIL ON NM,CVCB3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-27,wait,2021-01-27
SID NACIONAL ON,CSNA3,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-27,wait,2021-01-27
CCX CARVAO ON,CCXC3,1W,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-27,wait,2021-01-27
CCR SA ON,CCRO3,1W,Medium,Bullish doji Star,Current,Bullish reversal,2021-01-27,wait,2021-01-27
PETROBRAS ON,PETR3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-27,wait,2021-01-27
PETROBRAS ON,PETR3,1W,Low,Harami Cross,Current,Bullish reversal,2021-01-27,wait,2021-01-27
METAL LEVE ON,LEVE3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-01-27,wait,2021-01-27
Kimberly Clark Co.,KMBB34,1W,High,Three Inside Up,Current,Bullish reversal,2021-01-27,wait,2021-01-27
ConocoPhillips DR.,COPH34,1W,High,Three Black Crows,Current,Bearish reversal,2021-01-27,wait,2021-01-27
Home Depot Inc BD.,HOME34,1W,High,Dark Cloud Cover,Current,Bearish reversal,2021-01-27,wait,2021-01-27
