Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Parana Sanepar Un.,SAPR11,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
IGUATEMI ON,IGTA3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Banco BMG ON,BMGB4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
LOJAS MARISA ON,AMAR3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-15,wait,2021-02-15
EVEN ON,EVEN3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Anima ON,ANIM3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
GRAZZIOTIN ON,CGRA3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
GRAZZIOTIN PN,CGRA4,1M,Medium,Two Crows,Current,Bearish reversal,2021-02-15,wait,2021-02-15
LOCAMERICA ON NM,LCAM3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
GRENDENE ON,GRND3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
MasterCard Inc BD.,MSCD34,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-15,wait,2021-02-15
Companhia de Sane.,SAPR4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
SAO CARLOS ON,SCAR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
IOCHP-MAXION ON,MYPK3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
IOCHP-MAXION ON,MYPK3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
SANEPAR ON N2,SAPR3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
RODOBENSIMOB ON,RDNI3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Nike Inc BDR,NIKE34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Netflix Inc DRC,NFLX34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
ITAUSA PN,ITSA4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
ITAUUNIBANCO ON,ITUB3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Apple Inc BDR,AAPL34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Petrobras Distrib.,BRDT3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-02-15,wait,2021-02-15
Apple Inc BDR,AAPL34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Minerva,BEEF11,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Vivara,VIVA3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
MINERVA ON,BEEF3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
BRASILAGRO ON,AGRO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Biomm On,BIOM3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
BR PROPERT ON,BRPR3,1M,High,Three Black Crows,Current,Bearish reversal,2021-02-15,wait,2021-02-15
BR BROKERS ON,BBRK3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
BR BROKERS ON,BBRK3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Petrobras Distrib.,BRDT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
ITAUUNIBANCOPN EB.,ITUB4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-15,wait,2021-02-15
SANTANDER BR UNT,SANB11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Telebras,TELB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
MULTIPLAN ON,MULT3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Hoteis Othon,HOOT4,1M,Medium,Bullish doji Star,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Hoteis Othon,HOOT4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Hoteis Othon,HOOT4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
LOJAS AMERIC ON,LAME3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
LOJAS AMERIC PN,LAME4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Oracle Corp BDR,ORCL34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Oracle Corp BDR,ORCL34,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-15,wait,2021-02-15
BBSEGURIDADE ON N.,BBSE3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
CCR SA ON,CCRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
USIMINAS ON,USIM3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
ECORODOVIAS ON,ECOR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
TAEE UNIT,TAEE11,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
TAEE UNIT,TAEE11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
UNIPAR ON,UNIP3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-15,wait,2021-02-15
Lockheed Martin C.,LMTB34,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
Lockheed Martin C.,LMTB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-15,wait,2021-02-15
TAEE Pref,TAEE4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-15,wait,2021-02-15
TAEE Pref,TAEE4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
GERDAU MET PN,GOAU4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-15,wait,2021-02-15
