Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Eucatex,EUCA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
RODOBENSIMOB ON,RDNI3,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-28,wait,2020-12-28
FLEURY ON,FLRY3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-28,wait,2020-12-28
AES TIETE E UNT N.,TIET11,1M,Low,Hanging Man,Current,Bearish reversal,2020-12-28,wait,2020-12-28
EZTEC ON,EZTC3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-28,wait,2020-12-28
Movida Participac.,MOVI3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
COTEMINAS PN,CTNM4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
Visa Inc BDR,VISA34,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
ALPARGATAS ON,ALPA3,1M,Low,Harami Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
Cosan Logistica S.,RLOG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-28,wait,2020-12-28
ENEVA ON NM,ENEV3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
MRV ON,MRVE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
LOCAMERICA ON NM,LCAM3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
GRENDENE ON,GRND3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
Boeing Co BDR,BOEI34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-28,wait,2020-12-28
JPMorgan Chase Co.,JPMC34,1M,Low,Hanging Man,Current,Bearish reversal,2020-12-28,wait,2020-12-28
RODOBENSIMOB ON,RDNI3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-28,wait,2020-12-28
