Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Star,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Hoteis Othon,HOOT4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Banco Inter ON,BIDI3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Cemepe Pref ,MAPT4,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-11-26,wait,2020-11-26
NEOENERGIA,NEOE3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
KLABIN S/A ON N2,KLBN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-26,wait,2020-11-26
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Smiles Fidelidade.,SMLS3T,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
COMGAS PNA,CGAS5,1M,Low,Harami Bearish,Current,Bearish reversal,2020-11-26,wait,2020-11-26
KLABIN S/A ON N2,KLBN3,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Eucatex,EUCA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
TELEF BRASIL ON,VIVT3,1M,Medium,Downside Gap Three Methods,Current,Bearish continuation,2020-11-26,wait,2020-11-26
PARANAPANEMA ON,PMAM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-26,wait,2020-11-26
LOJAS AMERIC PN,LAME4,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-26,wait,2020-11-26
LOJAS AMERIC PN,LAME4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Hoteis Othon,HOOT4,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-26,wait,2020-11-26
ITAUSA ON,ITSA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Wal Mart Stores I.,WALM34,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-11-26,wait,2020-11-26
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-26,wait,2020-11-26
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-26,wait,2020-11-26
ITAUSA PN,ITSA4,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Minerva,BEEF11,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-11-26,wait,2020-11-26
ATT Inc BDR,ATTB34,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Procter Gamble Co.,PGCO34,1M,High,Three Outside Down,Current,Bearish reversal,2020-11-26,wait,2020-11-26
CEEE-D ON,CEED3,1M,High,Falling Three Methods,Current,Bearish continuation,2020-11-26,wait,2020-11-26
Morgan Stanley Ba.,MSBR34,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Gradiente Electro.,IGBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-26,wait,2020-11-26
BANRISUL PNB,BRSR6,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
BANRISUL PNA,BRSR5,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-26,wait,2020-11-26
BANRISUL PNA,BRSR5,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-26,wait,2020-11-26
ITAUUNIBANCO ON,ITUB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Verizon Communica.,VERZ34,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-11-26,wait,2020-11-26
CTEEP,TRPL3,1M,High,Rising Three Methods,Current,Bullish continuation,2020-11-26,wait,2020-11-26
Verizon Communica.,VERZ34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Chevron Corp BDR,CHVX34,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-26,wait,2020-11-26
Bovespa,BVSP,1M,High,Morning Doji Star,Current,Bullish reversal,2020-11-26,wait,2020-11-26
RAIADROGASIL ON,RADL3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
CEMIG PN,CMIG4,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-26,wait,2020-11-26
