Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Ogx Petroleo e Ga.,DMMO3T,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-04,wait,2020-12-04
ITAUSA ON,ITSA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Whirlpool Pref,WHRL4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Celulose Irani Pr.,RANI4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
PARANAPANEMA ON,PMAM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-04,wait,2020-12-04
EUCATEX PN,EUCA4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
KLABIN S/A ON N2,KLBN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Caterpillar Inc B.,CATP34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
Kimberly Clark Co.,KMBB34,1M,High,Three Outside Down,Current,Bearish reversal,2020-12-04,wait,2020-12-04
Chevron Corp BDR,CHVX34,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Refinaria de Petr.,RPMG3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-04,wait,2020-12-04
ITAUUNIBANCO ON,ITUB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Baumer Pref,BALM4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
Baumer Pref,BALM4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
ELETROBRAS PNB,ELET6,1M,High,Morning Doji Star,Current,Bullish reversal,2020-12-04,wait,2020-12-04
TOTVS ON,TOTS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
International Bus.,IBMB34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Apple Inc BDR,AAPL34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-04,wait,2020-12-04
LINX ON NM,LINX3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-04,wait,2020-12-04
TELEF BRASIL ON,VIVT3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
CEEE-D ON,CEED3,1M,High,Falling Three Methods,Current,Bearish continuation,2020-12-04,wait,2020-12-04
ITAUSA PN,ITSA4,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Banco Inter ON,BIDI3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
B2W DIGITAL ON,BTOW3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Colgate Palmolive.,COLG34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-04,wait,2020-12-04
Nike Inc BDR,NIKE34,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Nike Inc BDR,NIKE34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Brinquedos Estrel.,ESTR4,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-04,wait,2020-12-04
Brinquedos Estrel.,ESTR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-04,wait,2020-12-04
