Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
AMBEV S/A ON,ABEV3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
International Bus.,IBMB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Citigroup Inc BDR.,CTGP34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Whirlpool Pref,WHRL4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
TIM PART S/A ON,TIMS3,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-22,wait,2020-10-22
TELEF BRASIL ON,VIVT3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Goldman Sachs Gro.,GSGI34,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Celpe Pref,CEPE5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-22,wait,2020-10-22
JPMorgan Chase Co.,JPMC34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Energ De Brasilia.,CEBR5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Visa Inc BDR,VISA34,1M,High,Three Inside Down,Current,Bearish reversal,2020-10-22,wait,2020-10-22
MARCOPOLO PN,POMO4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
COELCE ON,COCE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
BRF SA ON,BRFS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Procter Gamble Co.,PGCO34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Alupar Invest Pre.,ALUP4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Parana Sanepar Un.,SAPR11,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Companhia de Sane.,SAPR4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Companhia de Sane.,SAPR4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
FedEx Corp BDR,FDXB34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
PepsiCo Inc BDR,PEPB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Wal Mart Stores I.,WALM34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Ouro Fino Saude A.,OFSA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Cosan Logistica S.,RLOG3,1M,High,Three Outside Down,Current,Bearish reversal,2020-10-22,wait,2020-10-22
COPEL ON,CPLE3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
American Express.,AXPB34,1M,Low,Shooting Star,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Comcast Corp BDR,CMCS34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
McDonalds Corp BD.,MCDC34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Comcast Corp BDR,CMCS34,1M,Low,Three Line Strike,Current,Bullish continuation,2020-10-22,wait,2020-10-22
MMX Mineracao e M.,MMXM11,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
BRASKEM ON,BRKM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Cemepe Pref ,MAPT4,1M,Low,Thrusting Bearish,Current,Bearish continuation,2020-10-22,wait,2020-10-22
CCR SA ON,CCRO3,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Ferbasa,FESA3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Celulose Irani Pr.,RANI4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
METAL LEVE ON,LEVE3,1M,High,Morning Doji Star,Current,Bullish reversal,2020-10-22,wait,2020-10-22
ODONTOPREV ON,ODPV3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Halliburton Co BD.,HALI34,1M,Low,Thrusting Bearish,Current,Bearish continuation,2020-10-22,wait,2020-10-22
IGUATEMI ON,IGTA3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Ogx Petroleo e Ga.,DMMO3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Ogx Petroleo e Ga.,DMMO3T,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Ogx Petroleo e Ga.,DMMO3T,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
LE LIS BLANC ON,LLIS3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
ITAUSA ON,ITSA3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
MULTIPLAN ON,MULT3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
SANTANDER BRPN ,SANB4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
BANRISUL PNA,BRSR5,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
GAFISA ON,GFSA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
KLABIN S/A ON N2,KLBN3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
CPFL ENERGIAON NM.,CPFE3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
CESP PNB,CESP6,1M,Medium,Bullish doji Star,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Starbucks Corp BD.,SBUB34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
B3 SA Brasil Bols.,B3SA3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
TRAN PAULIST PN,TRPL4,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Hoteis Othon,HOOT4,1M,Low,Harami Cross,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Hoteis Othon,HOOT4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
CEMIG ON,CMIG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
CEMIG PN,CMIG4,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-10-22,wait,2020-10-22
RENOVA UNT,RNEW11,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
RENOVA UNT,RNEW11,1W,High,Evening Doji Star,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Banco Inter ON,BIDI3,1W,Medium,Advance Block Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Renova Energia,RNEW3,1W,Medium,Engulfing Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Pfizer Inc BDR,PFIZ34,1W,High,Dark Cloud Cover,Current,Bearish reversal,2020-10-22,wait,2020-10-22
WEG ON,WEGE3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
BR BROKERS ON,BBRK3,1W,Medium,Upside Gap Three Methods,Current,Bullish continuation,2020-10-22,wait,2020-10-22
Hoteis Othon,HOOT4,1W,Low,Inverted Hammer,Current,Bullish reversal,2020-10-22,wait,2020-10-22
Centro de Imagem.,AALR3,1W,Low,Harami Bullish,Current,Bullish reversal,2020-10-22,wait,2020-10-22
VALE ON,VALE3,1W,Low,Hanging Man,Current,Bearish reversal,2020-10-22,wait,2020-10-22
Locaweb On,LWSA3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
PORTOBELLO ON,PTBL3,1W,Medium,Deliberation Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
PORTOBELLO ON,PTBL3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
LOJAS RENNER ON,LREN3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
PORTO SEGURO ON,PSSA3,1W,High,Three Inside Up,Current,Bullish reversal,2020-10-22,wait,2020-10-22
TOTVS ON,TOTS3,1W,Medium,Doji Star Bearish,Current,Bearish reversal,2020-10-22,wait,2020-10-22
