Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
BANRISUL PNB,BRSR6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Verizon Communica.,VERZ34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-01-14,wait,2021-01-14
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-14,wait,2021-01-14
HYPERMARCAS ON,HYPE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
HYPERMARCAS ON,HYPE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
FLEURY ON,FLRY3,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2021-01-14,wait,2021-01-14
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-14,wait,2021-01-14
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
JHSF PART ON,JHSF3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-14,wait,2021-01-14
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
COTEMINAS,CTNM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Verizon Communica.,VERZ34,1M,High,Three Black Crows,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Celpe Pref,CEPE5,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Merck Co Inc BDR,MRCK34,1M,High,Morning Star,Current,Bullish reversal,2021-01-14,wait,2021-01-14
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-14,wait,2021-01-14
LOCAMERICA ON NM,LCAM3,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Karsten,CTKA3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Karsten,CTKA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Energ De Brasilia.,CEBR6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Energ De Brasilia.,CEBR6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-14,wait,2021-01-14
McDonalds Corp BD.,MCDC34,1M,Medium,Bullish doji Star,Current,Bullish reversal,2021-01-14,wait,2021-01-14
Nike Inc BDR,NIKE34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-01-14,wait,2021-01-14
