Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Afluente Transmis.,AFLT3,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2021-02-17,wait,2021-02-17
ITAUSA PN,ITSA4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Smiles Fidelidade.,SMLS3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
LOCALIZA ON,RENT3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
LOJAS AMERIC PN,LAME4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
LOJAS AMERIC PN,LAME4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Hoteis Othon,HOOT4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
CVC BRASIL ON NM,CVCB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Walmart BDR,WALM34,1M,High,Three Inside Up,Current,Bullish reversal,2021-02-17,wait,2021-02-17
BRASILAGRO ON,AGRO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Vivara,VIVA3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
MasterCard Inc BD.,MSCD34,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-17,wait,2021-02-17
Banco BMG ON,BMGB4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
BR PROPERT ON,BRPR3,1M,High,Three Black Crows,Current,Bearish reversal,2021-02-17,wait,2021-02-17
ITAUUNIBANCOPN EB.,ITUB4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
ITAUUNIBANCO ON,ITUB3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
LOJAS MARISA ON,AMAR3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-17,wait,2021-02-17
BRADESPAR PN,BRAP4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Biomm On,BIOM3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Petrobras Distrib.,BRDT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
OSX BRASIL ON,OSXB3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
OSX BRASIL ON,OSXB3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Schlumberger AG,SLBG34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
BRADESPAR ON,BRAP3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
KLABIN S/A PN,KLBN4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
BRADESCO PN EJ N1.,BBDC4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
KLABIN S/A UNT N2.,KLBN11,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
KLABIN S/A UNT N2.,KLBN11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
PARANAPANEMA ON,PMAM3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
PARANAPANEMA ON,PMAM3,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-17,wait,2021-02-17
BRASIL ON,BBAS3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
BBSEGURIDADE ON N.,BBSE3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
PDG REALT ON,PDGR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Anima ON,ANIM3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Oracle Corp BDR,ORCL34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
MARCOPOLO ON,POMO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
AMBEV S/A ON,ABEV3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
CIELO ON,CIEL3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-17,wait,2021-02-17
CIELO ON,CIEL3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
ELETROBRAS ON,ELET3,1M,Medium,Homing Pigeon,Current,Bullish reversal,2021-02-17,wait,2021-02-17
ELETROBRAS PNB,ELET6,1M,Medium,Homing Pigeon,Current,Bullish reversal,2021-02-17,wait,2021-02-17
EQUATORIAL ON,EQTL3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
ECORODOVIAS ON,ECOR3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
ECORODOVIAS ON,ECOR3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Lockheed Martin C.,LMTB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Lockheed Martin C.,LMTB34,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
FedEx Corp BDR,FDXB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Caterpillar Inc B.,CATP34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
GOL PN N2,GOLL4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
MARCOPOLO PN,POMO4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Electro Aco Alton.,EALT4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
GRAZZIOTIN ON,CGRA3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
IOCHP-MAXION ON,MYPK3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
GRAZZIOTIN ON,CGRA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
LOCAMERICA ON NM,LCAM3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
LOCAMERICA ON NM,LCAM3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
GRENDENE ON,GRND3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
GRENDENE ON,GRND3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
IOCHP-MAXION ON,MYPK3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Karsten Pref,CTKA4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Electro Aco Alton.,EALT3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
RODOBENSIMOB ON,RDNI3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Home Depot Inc BD.,HOME34,1M,High,Three Outside Up,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Nike Inc BDR,NIKE34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Netflix Inc DRC,NFLX34,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
Cedro Cachoeira,CEDO3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
CCR SA ON,CCRO3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Oracle Corp BDR,ORCL34,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-17,wait,2021-02-17
AMBEV S/A ON,ABEV3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
AES TIETE E ON N2.,TIET3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
SABESP ON,SBSP3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
TRAN PAULIST PN,TRPL4,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
SANEPAR ON N2,SAPR3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
COPEL ON,CPLE3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Companhia de Sane.,SAPR4,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-17,wait,2021-02-17
AES TIETE E UNT N.,TIET11,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
TAEE UNIT,TAEE11,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Parana Sanepar Un.,SAPR11,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-17,wait,2021-02-17
AES TIETE E ON N2.,TIET3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-17,wait,2021-02-17
TAEE,TAEE3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Comgas,CGAS3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-02-17,wait,2021-02-17
SABESP ON,SBSP3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
COMGAS PNA,CGAS5,1M,Medium,Bullish doji Star,Current,Bullish reversal,2021-02-17,wait,2021-02-17
RENOVA UNT,RNEW11,1M,High,Three Black Crows,Current,Bearish reversal,2021-02-17,wait,2021-02-17
COPEL ON,CPLE3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
COPEL Pref B,CPLE6,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
Banco Inter PN,BIDI4,1W,High,Evening Doji Star,Current,Bearish reversal,2021-02-17,wait,2021-02-17
SANTANDER BRON ,SANB3,1W,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
BANRISUL PNA,BRSR5,1W,Low,Harami Cross,Current,Bullish reversal,2021-02-17,wait,2021-02-17
PORTO SEGURO ON,PSSA3,1W,High,Three Outside Down,Current,Bearish reversal,2021-02-17,wait,2021-02-17
SANTANDER BRPN ,SANB4,1W,Low,Harami Bullish,Current,Bullish reversal,2021-02-17,wait,2021-02-17
GENERALSHOPP ON,GSHP3,1W,High,Falling Three Methods,Current,Bearish continuation,2021-02-17,wait,2021-02-17
