Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
Merck Co Inc BDR,MRCK34,1M,High,Morning Star,Current,Bullish reversal,2021-01-06,wait,2021-01-06
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-06,wait,2021-01-06
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-06,wait,2021-01-06
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
JHSF PART ON,JHSF3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-06,wait,2021-01-06
JHSF PART ON,JHSF3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
Movida Participac.,MOVI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
Enauta ON,ENAT3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-06,wait,2021-01-06
Enauta ON,ENAT3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
EVEN ON,EVEN3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-06,wait,2021-01-06
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-06,wait,2021-01-06
Anima ON,ANIM3,1M,High,Evening Star,Current,Bearish reversal,2021-01-06,wait,2021-01-06
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-06,wait,2021-01-06
DIRECIONAL ON,DIRR3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-06,wait,2021-01-06
Merck Co Inc BDR,MRCK34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-06,wait,2021-01-06
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-06,wait,2021-01-06
