Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
GRENDENE ON,GRND3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Saraiva,SLED3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Johnson Johnson B.,JNJB34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Cosan Logistica S.,RLOG3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-23,wait,2020-12-23
MRV ON,MRVE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
MARCOPOLO ON,POMO3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-23,wait,2020-12-23
MRV ON,MRVE3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
MARCOPOLO PN,POMO4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
QUALICORP ON,QUAL3,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-23,wait,2020-12-23
GOL PN N2,GOLL4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
EZTEC ON,EZTC3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Ouro Fino Saude A.,OFSA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Comgas,CGAS3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-23,wait,2020-12-23
TIM PART S/A ON,TIMS3,1M,High,Three Outside Up,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Wal Mart Stores I.,WALM34,1M,Medium,Break Away Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
SAO MARTINHO ON,SMTO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
AES TIETE E UNT N.,TIET11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Camil Alimentos,CAML3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-23,wait,2020-12-23
ALPARGATAS ON,ALPA3,1M,Low,Harami Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
CEDRO PN,CEDO4,1M,High,Falling Three Methods,Current,Bearish continuation,2020-12-23,wait,2020-12-23
Minerva,BEEF11,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Amazon.com Inc BD.,AMZO34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-23,wait,2020-12-23
LOCAMERICA ON NM,LCAM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
OI ON N1,OIBR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
LOCAMERICA ON NM,LCAM3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Celpe Pref,CEPE5,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Celpe Pref,CEPE5,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-23,wait,2020-12-23
RODOBENSIMOB ON,RDNI3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-12-23,wait,2020-12-23
RODOBENSIMOB ON,RDNI3,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-23,wait,2020-12-23
COTEMINAS PN,CTNM4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
FLEURY ON,FLRY3,1M,Low,Harami Cross,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Apple Inc BDR,AAPL34,1M,High,Three Inside Up,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Cisco Systems Inc.,CSCO34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Home Depot Inc BD.,HOME34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Anima ON,ANIM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
McDonalds Corp BD.,MCDC34,1M,High,Three Black Crows,Current,Bearish reversal,2020-12-23,wait,2020-12-23
BBSEGURIDADE ON N.,BBSE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
EZTEC ON,EZTC3,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Boeing Co BDR,BOEI34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
CVC BRASIL ON NM,CVCB3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
AES TIETE E ON N2.,TIET3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
CESP PNA,CESP5,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-12-23,wait,2020-12-23
Eucatex,EUCA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
Visa Inc BDR,VISA34,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
KLABIN S/A PN,KLBN4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
TAESA UNT,TAEE11,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-12-23,wait,2020-12-23
MULTIPLAN ON,MULT3,1M,Low,Shooting Star,Current,Bearish reversal,2020-12-23,wait,2020-12-23
