Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
GERDAU MET PN,GOAU4,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-02-03,wait,2021-02-03
EVEN ON,EVEN3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-03,wait,2021-02-03
Verizon Communica.,VERZ34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-03,wait,2021-02-03
EVEN ON,EVEN3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-03,wait,2021-02-03
Anima ON,ANIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
Anima ON,ANIM3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-03,wait,2021-02-03
OI PN,OIBR4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-03,wait,2021-02-03
OI PN,OIBR4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-03,wait,2021-02-03
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-03,wait,2021-02-03
ATT Inc BDR,ATTB34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-03,wait,2021-02-03
ATT Inc BDR,ATTB34,1M,Low,Belt Hold Bullish,Current,Bullish reversal,2021-02-03,wait,2021-02-03
GRAZZIOTIN PN,CGRA4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
GRAZZIOTIN PN,CGRA4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-02-03,wait,2021-02-03
LOCAMERICA ON NM,LCAM3,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-02-03,wait,2021-02-03
Citigroup Inc BDR.,CTGP34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
JHSF PART ON,JHSF3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-03,wait,2021-02-03
