Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
HELBOR ON,HBOR3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
YDUQS Participaco.,YDUQ3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-15,wait,2021-01-15
GAFISA ON,GFSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-15,wait,2021-01-15
Ser Educa ON,SEER3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Ser Educa ON,SEER3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
TECNISA ON,TCSA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-15,wait,2021-01-15
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-01-15,wait,2021-01-15
Verizon Communica.,VERZ34,1M,Low,Harami Cross,Current,Bullish reversal,2021-01-15,wait,2021-01-15
Smiles Fidelidade.,SMLS3,1M,Low,Belt Hold Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
EZTEC ON,EZTC3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-15,wait,2021-01-15
EZTEC ON,EZTC3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
HELBOR ON,HBOR3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-01-15,wait,2021-01-15
Energ De Brasilia.,CEBR5,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
M.DIASBRANCO ON,MDIA3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-15,wait,2021-01-15
COTEMINAS PN,CTNM4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Energ De Brasilia.,CEBR6,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Energ De Brasilia.,CEBR6,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
LE LIS BLANC ON,LLIS3,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-15,wait,2021-01-15
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Karsten,CTKA3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Karsten,CTKA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
RODOBENSIMOB ON,RDNI3,1M,Low,Harami Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Alupar Invest Uni.,ALUP11,1M,Low,Hanging Man,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Walmart BDR,WALM34,1M,Low,Harami Bullish,Current,Bullish reversal,2021-01-15,wait,2021-01-15
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-01-15,wait,2021-01-15
Parana Sanepar Un.,SAPR11,1M,High,Falling Three Methods,Current,Bearish continuation,2021-01-15,wait,2021-01-15
PETROBRAS ON,PETR3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
ArcelorMittal BDR.,ARMT34,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
SID NACIONAL ON,CSNA3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
GERDAU MET PN,GOAU4,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-01-15,wait,2021-01-15
PETRORIO ON NM,PRIO3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
BR MALLS PAR ON,BRML3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
BR MALLS PAR ON,BRML3,1M,High,Evening Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
IGUATEMI ON,IGTA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
MULTIPLAN ON,MULT3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
CEMIG PN Pref,CMIG4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-01-15,wait,2021-01-15
Enauta ON,ENAT3,1M,Low,Shooting Star,Current,Bearish reversal,2021-01-15,wait,2021-01-15
