Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Star,Current,Bullish reversal,2020-11-20,wait,2020-11-20
PARANAPANEMA ON,PMAM3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-20,wait,2020-11-20
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-20,wait,2020-11-20
LOCAMERICA ON NM,LCAM3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2020-11-20,wait,2020-11-20
LOCAMERICA ON NM,LCAM3,1M,Low,Shooting Star,Current,Bearish reversal,2020-11-20,wait,2020-11-20
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-20,wait,2020-11-20
Celulose Irani Pr.,RANI4,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-20,wait,2020-11-20
Celulose Irani Pr.,RANI4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-20,wait,2020-11-20
LINX ON NM,LINX3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-20,wait,2020-11-20
ITAUSA PN,ITSA4,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-20,wait,2020-11-20
Apple Inc BDR,AAPL34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-20,wait,2020-11-20
Suzano Papel Celu.,SUZB3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-20,wait,2020-11-20
International Bus.,IBMB34,1M,High,Three Outside Down,Current,Bearish reversal,2020-11-20,wait,2020-11-20
Procter Gamble Co.,PGCO34,1M,High,Three Outside Down,Current,Bearish reversal,2020-11-20,wait,2020-11-20
USIMINAS ON,USIM3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-20,wait,2020-11-20
USIMINAS ON,USIM3,1M,Low,Harami Bearish,Current,Bearish reversal,2020-11-20,wait,2020-11-20
ITAUSA ON,ITSA3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-20,wait,2020-11-20
TELEF BRASIL ON,VIVT3,1M,Medium,Downside Gap Three Methods,Current,Bearish continuation,2020-11-20,wait,2020-11-20
RUMO ON NM,RAIL3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-20,wait,2020-11-20
LOPES BRASIL ON,LPSB3,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-20,wait,2020-11-20
