Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
AMBEV S/A ON,ABEV3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Eucatex,EUCA3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Enauta ON,ENAT3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Dommo Energia,DMMO3,1M,Low,Three Line Strike,Current,Bullish continuation,2021-02-01,wait,2021-02-01
ArcelorMittal BDR.,ARMT34,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
BRADESPAR PN,BRAP4,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Nike Inc BDR,NIKE34,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
GERDAU MET PN,GOAU4,1M,High,Dark Cloud Cover,Current,Bearish reversal,2021-02-01,wait,2021-02-01
RODOBENSIMOB ON,RDNI3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
METAL LEVE ON,LEVE3,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-02-01,wait,2021-02-01
USIMINAS ON,USIM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Karsten Pref,CTKA4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Karsten Pref,CTKA4,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
EUCATEX PN,EUCA4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-01,wait,2021-02-01
Karsten Pref,CTKA4,1M,Medium,Upside Gap Three Methods,Current,Bullish continuation,2021-02-01,wait,2021-02-01
Karsten,CTKA3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Karsten,CTKA3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
BRASIL ON,BBAS3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
BBSEGURIDADE ON N.,BBSE3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
USIMINAS PNA,USIM5,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Biomm On,BIOM3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
BR MALLS PAR ON,BRML3,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-01,wait,2021-02-01
ETERNIT ON,ETER3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-01,wait,2021-02-01
OI PN,OIBR4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-01,wait,2021-02-01
OI PN,OIBR4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-01,wait,2021-02-01
Verizon Communica.,VERZ34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-01,wait,2021-02-01
Cisco Systems Inc.,CSCO34,1M,High,Three Inside Up,Current,Bullish reversal,2021-02-01,wait,2021-02-01
GOL PN N2,GOLL4,1M,High,Evening Doji Star,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Xerox Corp BDR,XRXB34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Locaweb On,LWSA3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
ETERNIT ON,ETER3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-01,wait,2021-02-01
VALE ON,VALE3,1M,Medium,Advance Block Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
Bristol Myers Squ.,BMYB34,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2021-02-01,wait,2021-02-01
MARCOPOLO ON,POMO3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-01,wait,2021-02-01
