Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
B3 SA Brasil Bols.,B3SA3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
WEG ON,WEGE3,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2021-02-10,wait,2021-02-10
CVC BRASIL ON NM,CVCB3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
PepsiCo Inc BDR,PEPB34,1M,Low,Inverted Hammer,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Cedro Cachoeira,CEDO3,1M,Medium,Deliberation Bearish,Current,Bearish reversal,2021-02-10,wait,2021-02-10
CEDRO PN,CEDO4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
CEDRO PN,CEDO4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
M.DIASBRANCO ON,MDIA3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
USIMINAS ON,USIM3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
BRASILAGRO ON,AGRO3,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-10,wait,2021-02-10
USIMINAS ON,USIM3,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Alupar Invest,ALUP3,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Parana Sanepar Un.,SAPR11,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
RODOBENSIMOB ON,RDNI3,1M,High,Three Outside Down,Current,Bearish reversal,2021-02-10,wait,2021-02-10
Parana Sanepar Un.,SAPR11,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Electro Aco Alton.,EALT3,1M,Low,Harami Cross Bearish,Current,Bearish reversal,2021-02-10,wait,2021-02-10
Electro Aco Alton.,EALT4,1M,Low,Harami Bullish,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Companhia de Sane.,SAPR4,1M,Low,Harami Cross,Current,Bullish reversal,2021-02-10,wait,2021-02-10
Schlumberger AG,SLBG34,1M,Medium,Engulfing Bearish,Current,Bearish reversal,2021-02-10,wait,2021-02-10
