Name,Symbol,Timeframe,Reliability,Pattern,Candle,CandleTime,Date,Status,created_at
Bovespa,BVSP,1M,High,Morning Star,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Verizon Communica.,VERZ34,1M,Low,Bullish Hammer,Current,Bullish reversal,2020-11-16,wait,2020-11-16
LOJAS AMERIC ON,LAME3,1M,Low,Inverted Hammer,Current,Bullish reversal,2020-11-16,wait,2020-11-16
LOJAS AMERIC PN,LAME4,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-16,wait,2020-11-16
RAIADROGASIL ON,RADL3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-16,wait,2020-11-16
SARAIVA LIVR PN,SLED4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Ser Educa ON,SEER3,1M,Low,Harami Cross,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Microsoft Corp BD.,MSFT34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Smiles Fidelidade.,SMLS3T,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-16,wait,2020-11-16
ALPARGATAS PN,ALPA4,1M,Medium,Doji Star Bearish,Current,Bearish reversal,2020-11-16,wait,2020-11-16
PDG REALT ON,PDGR3,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Verizon Communica.,VERZ34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-16,wait,2020-11-16
C A Modas SA,CEAB3,1M,High,Three Inside Up,Current,Bullish reversal,2020-11-16,wait,2020-11-16
Dimed Pref,PNVL4,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-16,wait,2020-11-16
TIM PART S/A ON,TIMS3,1M,Medium,Bullish Engulfing,Current,Bullish reversal,2020-11-16,wait,2020-11-16
TELEF BRASIL ON,VIVT3,1M,Medium,Downside Gap Three Methods,Current,Bearish continuation,2020-11-16,wait,2020-11-16
ATT Inc BDR,ATTB34,1M,Low,Harami Bullish,Current,Bullish reversal,2020-11-16,wait,2020-11-16
ATT Inc BDR,ATTB34,1M,Medium,Dragonfly Doji,Current,Bullish reversal,2020-11-16,wait,2020-11-16
